,0,1,2
0,1,Cloud mixing ratio,1
1,2,Ice water mixing ratio,1
2,3,Rain mixing ratio,1
3,4,Snow mixing ratio,1
4,5,Graupel (snow pellets),1
5,6,Maximum/Composite radar reflectivity,0
6,7,Visibility,0
7,8,U component of wind,0
8,9,V component of wind,0
9,10,Ventilation Rate,0
10,11,Wind speed (gust),0
11,12,Geopotential Height,40
12,13,Temperature,40
13,14,Absolute vorticity,40
14,15,Ozone mixing ratio,40
15,16,Geopotential Height,1
16,17,Temperature,1
17,18,Relative humidity,1
18,19,U component of wind,1
19,20,V component of wind,1
20,21,Ozone mixing ratio,1
21,22,Geopotential Height,2
22,23,Temperature,2
23,24,Relative humidity,2
24,25,U component of wind,2
25,26,V component of wind,2
26,27,Ozone mixing ratio,2
27,28,Geopotential Height,3
28,29,Temperature,3
29,30,Relative humidity,3
30,31,U component of wind,3
31,32,V component of wind,3
32,33,Ozone mixing ratio,3
33,34,Geopotential Height,5
34,35,Temperature,5
35,36,Relative humidity,5
36,37,U component of wind,5
37,38,V component of wind,5
38,39,Ozone mixing ratio,5
39,40,Geopotential Height,7
40,41,Temperature,7
41,42,Relative humidity,7
42,43,U component of wind,7
43,44,V component of wind,7
44,45,Ozone mixing ratio,7
45,46,Geopotential Height,10
46,47,Temperature,10
47,48,Relative humidity,10
48,49,U component of wind,10
49,50,V component of wind,10
50,51,Absolute vorticity,10
51,52,Ozone mixing ratio,10
52,53,Geopotential Height,15
53,54,Temperature,15
54,55,Absolute vorticity,15
55,56,Ozone mixing ratio,15
56,57,Geopotential Height,20
57,58,Temperature,20
58,59,Relative humidity,20
59,60,U component of wind,20
60,61,V component of wind,20
61,62,Absolute vorticity,20
62,63,Ozone mixing ratio,20
63,64,Geopotential Height,30
64,65,Temperature,30
65,66,Relative humidity,30
66,67,U component of wind,30
67,68,V component of wind,30
68,69,Absolute vorticity,30
69,70,Ozone mixing ratio,30
70,71,Geopotential Height,40
71,72,Temperature,40
72,73,Absolute vorticity,40
73,74,Ozone mixing ratio,40
74,75,Geopotential Height,50
75,76,Temperature,50
76,77,Relative humidity,50
77,78,Total Cloud Cover,50
78,79,U component of wind,50
79,80,V component of wind,50
80,81,Absolute vorticity,50
81,82,Cloud mixing ratio,50
82,83,Ice water mixing ratio,50
83,84,Rain mixing ratio,50
84,85,Snow mixing ratio,50
85,86,Graupel (snow pellets),50
86,87,Ozone mixing ratio,50
87,88,Geopotential Height,70
88,89,Temperature,70
89,90,Relative humidity,70
90,91,U component of wind,70
91,92,V component of wind,70
92,93,Absolute vorticity,70
93,94,Ozone mixing ratio,70
94,95,Geopotential Height,100
95,96,Temperature,100
96,97,Relative humidity,100
97,98,Total Cloud Cover,100
98,99,Vertical velocity,100
99,100,Geometric vertical velocity,100
100,101,U component of wind,100
101,102,V component of wind,100
102,103,Absolute vorticity,100
103,104,Cloud mixing ratio,100
104,105,Ice water mixing ratio,100
105,106,Rain mixing ratio,100
106,107,Snow mixing ratio,100
107,108,Graupel (snow pellets),100
108,109,Icing severity,100
109,110,Ozone mixing ratio,100
110,111,Geopotential Height,150
111,112,Temperature,150
112,113,Relative humidity,150
113,114,Total Cloud Cover,150
114,115,Vertical velocity,150
115,116,Geometric vertical velocity,150
116,117,U component of wind,150
117,118,V component of wind,150
118,119,Absolute vorticity,150
119,120,Cloud mixing ratio,150
120,121,Ice water mixing ratio,150
121,122,Rain mixing ratio,150
122,123,Snow mixing ratio,150
123,124,Graupel (snow pellets),150
124,125,Icing severity,150
125,126,Ozone mixing ratio,150
126,127,Geopotential Height,200
127,128,Temperature,200
128,129,Relative humidity,200
129,130,Total Cloud Cover,200
130,131,Vertical velocity,200
131,132,Geometric vertical velocity,200
132,133,U component of wind,200
133,134,V component of wind,200
